episode,len_s,right_reversals,right_dur,right_move_frac,right_rev_per_10s,right_slow_frac,right_jitter,right_speed_med,left_reversals,left_dur,left_move_frac,left_rev_per_10s,left_slow_frac,left_jitter,left_speed_med
10,15.4,0,15.4,0.9765625,0.0,0.20833333333333334,0.00686599187791991,0.11373503214096416,0,15.4,0.8151041666666666,0.0,0.5572916666666666,0.00596901088142035,0.05365832302882425
11,16.16,0,16.16,0.9851116625310173,0.0,0.2729528535980149,0.007657277735017867,0.0827252086327367,0,16.16,0.9032258064516129,0.0,0.5856079404466501,0.005372224248761699,0.04157855296813235
12,18.12,0,18.12,0.9646017699115044,0.0,0.19690265486725664,0.0050115218900560815,0.1312617867098519,0,18.12,0.9668141592920354,0.0,0.3141592920353982,0.004091391037057586,0.0850227050768845
13,24.56,0,24.56,0.9804241435562806,0.0,0.3197389885807504,0.007432288209633171,0.08158106447064502,0,24.56,0.967373572593801,0.0,0.564437194127243,0.006791157963121031,0.04209948890321863
14,17.52,0,17.52,0.9954233409610984,0.0,0.2814645308924485,0.00607036685158667,0.08943261355989039,0,17.52,0.9519450800915332,0.0,0.585812356979405,0.005664528784139051,0.04585715303649992
15,12.48,1,12.48,1.0,0.8012820512820513,0.1157556270096463,0.014618838303754949,0.1937378672832447,0,12.48,1.0,0.0,0.10610932475884244,0.015908026061946908,0.2052539776270078
16,16.04,0,16.04,0.9825,0.0,0.2125,0.0045900255540350845,0.1266483535323964,0,16.04,0.98,0.0,0.41,0.003352292891683848,0.06661330691057271
17,14.32,0,14.32,0.9719887955182073,0.0,0.4957983193277311,0.006952130503318098,0.05713326566424874,0,14.32,0.9915966386554622,0.0,0.226890756302521,0.008159781543712533,0.1315943279752121
18,14.88,0,14.88,0.967654986522911,0.0,0.19137466307277629,0.0043938402402244085,0.13865027808113742,0,14.88,0.9919137466307277,0.0,0.30997304582210244,0.004513425465158434,0.07899007395846866
19,18.52,0,18.52,0.9588744588744589,0.0,0.34415584415584416,0.0062383812555495115,0.09148899544085584,0,18.52,0.8809523809523809,0.0,0.5346320346320347,0.007490811807745975,0.053042453907481385
20,14.52,0,14.52,0.9779005524861878,0.0,0.23204419889502761,0.008029349985356642,0.1288425384141238,1,14.52,0.9613259668508287,0.6887052341597797,0.47513812154696133,0.00542641100798736,0.05900606041990027
21,11.48,0,11.48,0.9895104895104895,0.0,0.12237762237762238,0.008765292925396309,0.2238151151583464,0,11.48,0.993006993006993,0.0,0.15384615384615385,0.009216247806560569,0.21269762475012266
22,24.44,0,24.44,0.9901639344262295,0.0,0.1885245901639344,0.006828329305495243,0.1443865349574035,0,24.44,0.9704918032786886,0.0,0.3524590163934426,0.005230411717767447,0.10332378902888834
23,25.84,0,25.84,0.9689922480620154,0.0,0.27286821705426356,0.006206157644068124,0.11772123955657142,0,25.84,0.7813953488372093,0.0,0.772093023255814,0.004349564215183348,0.0305928424269845
24,18.68,0,18.68,0.9957081545064378,0.0,0.2510729613733906,0.006523225829553449,0.07901413726255,0,18.68,0.9098712446351931,0.0,0.5901287553648069,0.005561621410873326,0.04674444795975331
25,21.44,0,21.44,0.994392523364486,0.0,0.11588785046728972,0.007029396078679403,0.13228195709452253,0,21.44,0.9962616822429906,0.0,0.1102803738317757,0.0064916259674433745,0.1275549359053232
26,23.48,0,23.48,0.9880546075085325,0.0,0.32081911262798635,0.008440700678526957,0.08420562968407035,0,23.48,0.9488054607508533,0.0,0.49658703071672355,0.006971123234680853,0.05390434844933009
27,14.84,0,14.84,0.9540540540540541,0.0,0.5783783783783784,0.006123944335195988,0.04037180261315739,0,14.84,0.9432432432432433,0.0,0.24864864864864866,0.00791487997968757,0.12184186179319598
28,16.52,0,16.52,0.9660194174757282,0.0,0.22330097087378642,0.0045658384931185365,0.11104754679109417,0,16.52,0.9878640776699029,0.0,0.46601941747572817,0.003586571371838333,0.05221531131091263
29,18.44,0,18.44,1.0,0.0,0.17608695652173914,0.007885507911726373,0.10343718786394596,0,18.44,0.9782608695652174,0.0,0.4326086956521739,0.0074885691973131715,0.06308424526387796
30,21.84,0,21.84,0.9798165137614679,0.0,0.21100917431192662,0.007129113569791281,0.16104176055034242,0,21.84,0.9798165137614679,0.0,0.22201834862385322,0.006881905607975106,0.12439750401544822
